,last_name,first_name,gender,email,birth,age,university,inscription_date,career,location
14,Morgan-hale,,F,Jacobdunn@hotmail.com,04/Oct/11,,Universidad-nacional-de-río-cuarto,20/Sep/09,Licenciatura-en-artes,Campo-medina
15,Brandi-norman,,F,Wjohnson@yahoo.com,96/Jul/23,,Universidad-nacional-de-río-cuarto,20/Dec/03,Arquitectura,3-de-mayo
16,Rose-jenkins,,F,Mendezkathleen@yahoo.com,42/Jun/07,,Universidad-nacional-de-río-cuarto,20/Dec/19,Licenciatura-en-ciencia-política-,Bonpland
17,Mitchell-jenkins,,M,Joshuastuart@yahoo.com,07/Aug/23,,Universidad-nacional-de-río-cuarto,20/Sep/02,Licenciatura-en-gestión-de-agroalimentos,Alamo
18,Leslie-walsh,,F,Turnercory@yahoo.com,96/Apr/23,,Universidad-nacional-de-río-cuarto,20/Sep/07,Ciencias-veterinarias,9-de-julio
19,Jeffrey-warren,,M,Thomas10@hotmail.com,29/Nov/23,,Universidad-nacional-de-río-cuarto,20/Sep/03,Ingeniería-en-informática,Capilla-del-señor
20,Wesley-taylor,,M,Johnhughes@gmail.com,95/Feb/23,,Universidad-nacional-de-río-cuarto,20/Sep/10,Diseño-de-imagen-y-sonido,Benito-juarez
21,Lisa-conley,,F,Brandijackson@gmail.com,45/Aug/27,,Universidad-nacional-de-río-cuarto,21/Jan/28,Diseño-de-imagen-y-sonido,Dest-aeronautico-milit-reconqu
22,Brendan-bell,,M,Sampsonsara@hotmail.com,81/Dec/05,,Universidad-nacional-de-río-cuarto,21/Jan/01,Actuario-,Arroyo-magdalena
23,Noah-deleon,,M,Johnsoncaleb@hotmail.com,17/Dec/03,,Universidad-nacional-de-río-cuarto,20/Nov/15,Ciencias-veterinarias,Colonia-mabragaña
24,Michele-gonzalez,,F,Zlawson@gmail.com,40/Aug/27,,Universidad-nacional-de-río-cuarto,20/Dec/05,Licenciatura-en-planificación-y-diseño-del-paisaje,Cañadon-ferrais
25,Stephanie-gordon,,F,Carolmiller@hotmail.com,47/Jun/28,,Universidad-nacional-de-río-cuarto,20/Oct/04,Farmacia,Copacabana
26,Rebecca-young,,F,Wdavis@gmail.com,74/Mar/28,,Universidad-nacional-de-río-cuarto,20/Nov/21,Licenciatura-en-ciencia-política-,Alejandra
27,Julia-perry,,F,Christophermartin@yahoo.com,48/Nov/25,,Universidad-nacional-de-río-cuarto,20/Sep/26,Licenciatura-en-ciencias-de-la-computación,Barrio-chapadmalal
28,Sandra-moore,,F,Austinwolfe@yahoo.com,73/Jun/21,,Universidad-nacional-de-río-cuarto,20/Nov/14,Ciencias-veterinarias,Del-viso
29,Christine-horne,,F,Natashacasey@hotmail.com,59/Aug/20,,Universidad-nacional-de-río-cuarto,20/Sep/16,Ingeniería-electrónica,Kilometro-525
30,Matthew-thomas,,M,Teresa21@gmail.com,77/Apr/07,,Universidad-nacional-de-río-cuarto,20/Sep/02,Licenciatura-en-artes,Planicie-banderita
31,Tina-reid,,F,Teresa52@hotmail.com,72/Dec/25,,Universidad-nacional-de-río-cuarto,20/Dec/16,Licenciatura-en-gestión-de-agroalimentos,Ingeniero-williams
32,Joseph-peterson,,M,Wongjames@yahoo.com,73/Oct/11,,Universidad-nacional-de-río-cuarto,20/Dec/08,Licenciatura-en-ciencias-antropológicas,Berretta
33,Cynthia-campbell,,F,Davisjesse@gmail.com,37/Feb/18,,Universidad-nacional-de-río-cuarto,20/Dec/09,Licenciatura-en-kinesiología-y-fisiatría,20-de-febrero
34,Marc-allen,,M,Mcgrathashley@yahoo.com,65/Jul/05,,Universidad-nacional-de-río-cuarto,20/Dec/19,Licenciatura-en-gestión-de-agroalimentos,Campo-moreno
35,Sue-franklin,,F,Fbyrd@yahoo.com,03/May/31,,Universidad-nacional-de-río-cuarto,20/Sep/12,Licenciatura-en-musicoterapia,D-orbigny
36,Tommy-stein,,M,Lmendez@gmail.com,19/Jun/21,,Universidad-nacional-de-río-cuarto,20/Dec/31,Actuario-,Boulogne
37,Frederick-sullivan,,M,Melissamorgan@hotmail.com,17/Feb/03,,Universidad-nacional-de-río-cuarto,20/Nov/13,Licenciatura-en-gestión-de-agroalimentos,Arbol-verde
38,Brian-moore,,M,Donna26@yahoo.com,80/Mar/04,,Universidad-nacional-de-río-cuarto,20/Dec/01,Licenciatura-en-ciencias-de-la-educación-,Chipauquil
39,Alexandra-hale,,F,Jason45@gmail.com,91/Nov/24,,Universidad-nacional-de-río-cuarto,20/Sep/12,Licenciatura-en-sociología-,Arbol-verde
40,Robert-mcknight,,M,Vberger@yahoo.com,20/Mar/16,,Universidad-nacional-de-río-cuarto,20/Sep/22,Licenciatura-en-ciencias-geológicas,La-pastora
41,Jennifer-moss,,F,Drewhunter@gmail.com,77/May/06,,Universidad-nacional-de-río-cuarto,20/Nov/19,Licenciatura-en-artes,Baigorrita
42,Erin-rivera,,F,Davislori@hotmail.com,10/Nov/04,,Universidad-nacional-de-río-cuarto,20/Dec/07,Licenciatura-en-ciencias-biológicas,Bella-union-paraje
43,Brian-burton,,M,Rodriguezmichael@hotmail.com,41/May/28,,Universidad-nacional-de-río-cuarto,21/Jan/17,Licenciatura-en-ciencias-de-la-educación-,La-dorita
44,Joseph-payne,,M,Hilllisa@yahoo.com,51/Feb/16,,Universidad-nacional-de-río-cuarto,20/Dec/24,Licenciatura-en-ciencias-antropológicas,Florentino-ameghino
45,Desiree-thomas,,F,Edward14@hotmail.com,57/May/04,,Universidad-nacional-de-río-cuarto,20/Dec/18,Actuario-,Carcaraña
46,Denise-turner,,F,Scott01@hotmail.com,48/Apr/13,,Universidad-nacional-de-río-cuarto,20/Sep/09,Licenciatura-en-ciencia-y-tecnología-de-alimentos,Bonifacio
47,Teresa-howard,,F,Priscilla58@gmail.com,67/Jul/11,,Universidad-nacional-de-río-cuarto,20/Oct/17,Diseño-industrial,Achaval-rodriguez
48,Gabriela-lopez,,F,Jesus71@gmail.com,48/Jul/03,,Universidad-nacional-de-río-cuarto,20/Oct/21,Arquitectura,Huanqueros
49,Jamie-jackson,,F,Castrosamuel@yahoo.com,89/Nov/20,,Universidad-nacional-de-río-cuarto,20/Dec/24,Licenciatura-en-sociología-,Colonia-san-francisco
50,Julia-williams,,F,Oreynolds@yahoo.com,26/Jan/31,,Universidad-nacional-de-río-cuarto,20/Dec/10,Licenciatura-en-sociología-,Agua-de-los-manantiales
51,Zachary-russell,,M,Gilmorepaul@yahoo.com,34/Sep/14,,Universidad-nacional-de-río-cuarto,20/Oct/03,Licenciatura-en-gestión-de-agroalimentos,Alto-de-las-arañas
52,Samuel-leon,,M,Greensteven@yahoo.com,19/Nov/08,,Universidad-nacional-de-río-cuarto,20/Nov/18,Arquitectura,Chipauquil
53,Allen-foster,,M,Xatkins@yahoo.com,37/Apr/08,,Universidad-nacional-de-río-cuarto,20/Oct/24,Licenciatura-en-ciencias-geológicas,Chichagasta
54,James-andersen,,M,Rachelcobb@yahoo.com,97/May/18,,Universidad-nacional-de-río-cuarto,20/Oct/20,Licenciatura-en-ciencias-de-la-educación-,Alamos
55,Jennifer-deleon,,F,Medinapeggy@gmail.com,23/Feb/27,,Universidad-nacional-de-río-cuarto,20/Dec/03,Licenciatura-en-gestión-de-agroalimentos,Allen
56,David-stephenson,,M,Smorris@gmail.com,13/Jul/30,,Universidad-nacional-de-río-cuarto,20/Oct/28,Bioquímica,Almirante-brown
57,Amanda-ramos,,F,Jamesburton@yahoo.com,20/Jun/10,,Universidad-nacional-de-río-cuarto,20/Dec/17,Licenciatura-en-ciencias-antropológicas,Colonia-cello
58,Dawn-cruz,,F,Phelpssarah@yahoo.com,61/May/07,,Universidad-nacional-de-río-cuarto,20/Sep/12,Técnico-para-bioterios-,Juan-maria-gutierrez
59,Clinton-jimenez,,M,Ryan68@hotmail.com,96/Sep/12,,Universidad-nacional-de-río-cuarto,20/Dec/13,Licenciatura-en-ciencias-biológicas,Catamontaña
60,Kendra-gonzalez,,F,Xnoble@gmail.com,47/Oct/11,,Universidad-nacional-de-río-cuarto,20/Dec/24,Ingeniería-mecánica,Barrancas
61,Kevin-mckinney,,M,Tuckermelissa@yahoo.com,43/Dec/26,,Universidad-nacional-de-río-cuarto,20/Nov/10,Arquitectura,Las-quintas
62,Alicia-martin,,F,Bwheeler@gmail.com,95/Jul/15,,Universidad-nacional-de-río-cuarto,20/Sep/21,Medicina,Agua-azul
63,Lisa-caldwell,,F,Ucruz@yahoo.com,12/Aug/02,,Universidad-nacional-de-río-cuarto,20/Oct/01,Licenciatura-en-ciencias-ambientales,Arroyo-casco
64,Amy-thomas,,F,Sharris@hotmail.com,25/Jan/10,,Universidad-nacional-de-río-cuarto,20/Oct/29,Licenciatura-en-artes,Barrio-la-luisa
65,Anne-perry,,F,Tannermiller@gmail.com,08/Sep/25,,Universidad-nacional-de-río-cuarto,20/Oct/26,Licenciatura-en-ciencia-política-,El-juncalito
66,Jennifer-scott,,F,Richard31@hotmail.com,46/Oct/21,,Universidad-nacional-de-río-cuarto,20/Oct/24,Ingeniería-mecánica,Anguinan
67,Ryan-jenkins,,M,Nathan34@yahoo.com,90/Nov/26,,Universidad-nacional-de-río-cuarto,20/Sep/05,Licenciatura-en-gestión-de-agroalimentos,Colonia-josefa
68,Amanda-garrison,,F,Catherinehunter@gmail.com,08/Oct/26,,Universidad-nacional-de-río-cuarto,21/Jan/12,Licenciatura-en-ciencias-antropológicas,Aguas-verdes
69,Tara-hodges,,F,Erobinson@hotmail.com,36/Aug/03,,Universidad-nacional-de-río-cuarto,20/Dec/05,Licenciatura-en-ciencia-política-,Casablanca
70,Thomas-molina,,M,Yburton@yahoo.com,21/Jul/03,,Universidad-nacional-de-río-cuarto,20/Nov/03,Licenciatura-en-ciencia-y-tecnología-de-alimentos,Cutral-co
71,Travis-lawson,,M,Vanessasanchez@yahoo.com,89/Sep/18,,Universidad-nacional-de-río-cuarto,20/Oct/15,Contador-público-,Isla
72,Travis-williams,,M,Rileykevin@yahoo.com,17/Apr/03,,Universidad-nacional-de-río-cuarto,20/Oct/30,Ingeniería-electrónica,Adolfo-j-pomar
73,Marissa-marshall,,F,Turnerzachary@yahoo.com,27/Nov/20,,Universidad-nacional-de-río-cuarto,21/Jan/28,Licenciatura-en-terapia-ocupacional,Ifran
74,Susan-singleton,,F,Amanda37@gmail.com,89/Jul/20,,Universidad-nacional-de-río-cuarto,20/Dec/25,Licenciatura-en-producción-de-bioimagenes,Encina
75,Michelle-allen,,F,Justin70@yahoo.com,15/Sep/30,,Universidad-nacional-de-río-cuarto,20/Nov/02,Ingeniería-en-informática,Cupiles
76,Cheryl-randolph,,F,Cookdylan@gmail.com,57/Jun/19,,Universidad-nacional-de-río-cuarto,20/Nov/17,Licenciatura-en-administración-,Barrialitos
77,William-daniel,,M,Alejandromccall@yahoo.com,72/Jul/25,,Universidad-nacional-de-río-cuarto,20/Dec/19,Licenciatura-en-relaciones-del-trabajo-,25-de-mayo
78,Ian-thomas,,M,Clong@hotmail.com,68/Nov/09,,Universidad-nacional-de-río-cuarto,20/Oct/11,Licenciatura-en-artes,El-chalten
79,James-reynolds,,M,Laurieyoung@hotmail.com,82/Mar/27,,Universidad-nacional-de-río-cuarto,20/Nov/05,Licenciatura-en-planificación-y-diseño-del-paisaje,Labarden
80,David-ochoa,,M,Millerrobert@gmail.com,66/Aug/14,,Universidad-nacional-de-río-cuarto,20/Sep/19,Licenciatura-en-ciencia-y-tecnología-de-alimentos,El-campamento
81,Sara-porter,,F,Valeriejimenez@gmail.com,29/Mar/21,,Universidad-nacional-de-río-cuarto,21/Jan/11,Diseño-industrial,Algarrobo-del-aguila
82,Nicole-smith,,F,Richardsonphilip@gmail.com,46/Dec/20,,Universidad-nacional-de-río-cuarto,21/Jan/18,Ingeniería-electrónica,9-de-julio-kilometro-20
83,Mary-hernandez,,F,Gsalas@hotmail.com,87/Oct/13,,Universidad-nacional-de-río-cuarto,20/Nov/20,Diseño-de-imagen-y-sonido,Campo-garabato
84,Joseph-wright,,M,Martinezsarah@gmail.com,14/May/06,,Universidad-nacional-de-río-cuarto,20/Oct/02,Licenciatura-en-musicoterapia,Berabevu
85,Lori-richmond,,F,Thomaswilliamson@gmail.com,34/Aug/04,,Universidad-nacional-de-río-cuarto,20/Dec/01,Licenciatura-en-ciencia-y-tecnología-de-alimentos,Oriente
86,Thomas-hall,,M,Michaelallen@hotmail.com,19/May/05,,Universidad-nacional-de-río-cuarto,20/Oct/09,Licenciatura-en-ciencias-de-la-computación,10-de-mayo
87,Julia-thomas,,F,Chavezlaura@hotmail.com,36/Jun/30,,Universidad-nacional-de-río-cuarto,21/Jan/16,Ingeniería-en-informática,Atencio
88,Danielle-ramos,,F,Michaelgardner@gmail.com,74/Dec/01,,Universidad-nacional-de-río-cuarto,20/Nov/29,Diseño-de-imagen-y-sonido,Cañadon-lagarto
89,Kyle-williams,,M,Taylorjames@hotmail.com,19/Jul/06,,Universidad-nacional-de-río-cuarto,21/Jan/04,Licenciatura-en-ciencias-ambientales,Avanzada
90,Daniel-jones,,M,Rodriguezcorey@yahoo.com,96/Jan/11,,Universidad-nacional-de-río-cuarto,20/Nov/12,Agronomía,Chocori
91,Rebecca-reilly,,F,Zvillegas@gmail.com,83/Nov/06,,Universidad-nacional-de-río-cuarto,20/Sep/06,Ciencias-veterinarias,Crispi
92,Anna-gray,,F,Xelliott@yahoo.com,55/Mar/20,,Universidad-nacional-de-río-cuarto,20/Sep/13,Ingeniería-electrónica,Acheral
93,Lindsey-oliver,,F,Hansondanny@hotmail.com,16/Dec/30,,Universidad-nacional-de-río-cuarto,20/Sep/04,Licenciatura-en-psicología,Cuesta-del-ternero
94,Tara-kemp,,F,Keithlynch@gmail.com,12/Apr/28,,Universidad-nacional-de-río-cuarto,21/Jan/29,Licenciatura-en-ciencias-antropológicas,Barrio-villa-cordoba
95,Crystal-cameron,,F,Leejames@gmail.com,86/Apr/21,,Universidad-nacional-de-río-cuarto,21/Jan/15,Licenciatura-en-sociología-,Nelson
96,Holly-contreras,,F,Osbornjacqueline@gmail.com,21/Mar/27,,Universidad-nacional-de-río-cuarto,20/Sep/07,Agronomía,Balneario-la-caleta
97,Troy-brown,,M,Fvilla@hotmail.com,26/Sep/25,,Universidad-nacional-de-río-cuarto,20/Nov/04,Ciencias-veterinarias,El-peregrino
98,Samantha-lewis,,F,Mariahcampbell@yahoo.com,51/Oct/30,,Universidad-nacional-de-río-cuarto,20/Dec/15,Licenciatura-en-sociología-,7-de-abril
99,Jeremy-sweeney,,M,Ngibbs@gmail.com,69/May/28,,Universidad-nacional-de-río-cuarto,20/Dec/14,Contador-público-,Agua-colorada
100,Joseph-phillips,,M,Josephbanks@gmail.com,03/Oct/04,,Universidad-nacional-de-río-cuarto,20/Sep/06,Licenciatura-en-ciencias-de-la-computación,Ocho-vados
101,William-smith,,M,Estevenson@gmail.com,36/Aug/06,,Universidad-nacional-de-río-cuarto,20/Sep/08,Diseño-de-imagen-y-sonido,Claudio-c-molina
102,Amanda-lawson,,F,Jeffrey85@yahoo.com,01/Aug/27,,Universidad-nacional-de-río-cuarto,20/Dec/21,Licenciatura-en-ciencias-geológicas,9-de-julio
103,Andrew-webster,,M,Vwalker@yahoo.com,94/May/02,,Universidad-nacional-de-río-cuarto,20/Sep/23,Diseño-de-imagen-y-sonido,Antonio-tomas-sud
104,Mary-summers,,F,Qterry@hotmail.com,43/Mar/22,,Universidad-nacional-de-río-cuarto,20/Oct/24,Ciencias-veterinarias,Adrian-maturano
105,Patricia-wallace,,F,Amy04@gmail.com,68/Sep/01,,Universidad-nacional-de-río-cuarto,20/Oct/24,Licenciatura-en-planificación-y-diseño-del-paisaje,Pontaut
106,Audrey-davis,,F,Williamscorey@gmail.com,17/Sep/08,,Universidad-nacional-de-río-cuarto,20/Nov/11,Licenciatura-en-sociología-,Banda-de-lucero
107,Nicholas-martin,,M,Clarkejonathan@gmail.com,18/Jul/04,,Universidad-nacional-de-río-cuarto,20/Sep/02,Bioquímica,Curandu
108,Ricky-owens,,M,Lbarton@hotmail.com,33/Jan/04,,Universidad-nacional-de-río-cuarto,20/Sep/25,Medicina,Acasape
109,Gail-skinner,,F,William90@gmail.com,58/Mar/28,,Universidad-nacional-de-río-cuarto,20/Oct/30,Licenciatura-en-ciencias-ambientales,Calchaqui
110,Devon-jones,,M,Asanchez@yahoo.com,38/May/28,,Universidad-nacional-de-río-cuarto,20/Sep/02,Diseño-industrial,El-pampero
111,Jeremy-washington,,M,Robinsonjennifer@gmail.com,53/Sep/14,,Universidad-nacional-de-río-cuarto,21/Jan/11,Licenciatura-en-psicología,El-zapallar
112,Brittney-parks,,F,William86@yahoo.com,97/Apr/06,,Universidad-nacional-de-río-cuarto,20/Oct/22,Licenciatura-en-sociología-,Empalme
113,Laura-bruce,,F,Brittneymurphy@gmail.com,74/Nov/12,,Universidad-nacional-de-río-cuarto,20/Sep/21,Diseño-de-imagen-y-sonido,Antonio-pini
114,Jennifer-wallace,,F,Wwilliams@gmail.com,64/Dec/19,,Universidad-nacional-de-río-cuarto,21/Jan/28,Diseño-de-imagen-y-sonido,Carlos-tejedor
115,Jessica-gentry,,F,Samantha83@yahoo.com,37/Mar/07,,Universidad-nacional-de-río-cuarto,20/Oct/08,Diseño-de-imagen-y-sonido,La-legua
116,Jose-lopez,,M,Cartercarolyn@gmail.com,97/Sep/08,,Universidad-nacional-de-río-cuarto,20/Nov/26,Agronomía,Arroyo-mal-paso
117,Jose-jordan,,M,Lcampbell@gmail.com,94/Mar/16,,Universidad-nacional-de-río-cuarto,20/Oct/18,Licenciatura-en-producción-de-bioimagenes,Muñiz
118,Raymond-hensley,,M,Mjones@yahoo.com,41/Oct/07,,Universidad-nacional-de-río-cuarto,20/Oct/26,Contador-público-,Aaron-castellanos
119,Christopher-steele,,M,Jose87@yahoo.com,19/Jul/30,,Universidad-nacional-de-río-cuarto,20/Oct/24,Ingeniería-en-informática,Cameron
120,Sharon-hernandez,,F,Jonescatherine@hotmail.com,00/Dec/25,,Universidad-nacional-de-río-cuarto,21/Jan/23,Ingeniería-mecánica,Bañado-san-antonio
121,Nicholas-torres,,M,Kim36@hotmail.com,16/Apr/27,,Universidad-nacional-de-río-cuarto,20/Dec/08,Licenciatura-en-artes,Bacacay
122,Anna-le,,F,Christinapalmer@yahoo.com,77/Dec/08,,Universidad-nacional-de-río-cuarto,20/Oct/16,Diseño-de-imagen-y-sonido,El-campamento
123,Jessica-dyer,,F,Alexandra15@hotmail.com,73/Mar/14,,Universidad-nacional-de-río-cuarto,20/Sep/30,Contador-público-,Colonia-cazaux
124,Aaron-strong,,M,Briansanders@gmail.com,80/Apr/28,,Universidad-nacional-de-río-cuarto,20/Sep/05,Agronomía,Paso-de-los-andes
125,Jennifer-sanders,,F,Erin58@yahoo.com,01/May/10,,Universidad-nacional-de-río-cuarto,20/Sep/25,Licenciatura-en-relaciones-del-trabajo-,Acevedo
126,David-archer,,M,Penaamy@gmail.com,45/Mar/16,,Universidad-nacional-de-río-cuarto,21/Jan/30,Ciencias-veterinarias,Cristiano-muerto
127,Meghan-grimes,,F,Hthomas@gmail.com,12/May/20,,Universidad-nacional-de-río-cuarto,20/Sep/24,Licenciatura-en-ciencia-y-tecnología-de-alimentos,Cañadita
128,Patrick-dunn,,M,Jennifer08@yahoo.com,37/Aug/31,,Universidad-nacional-de-río-cuarto,20/Nov/01,Licenciatura-en-ciencias-biológicas,El-retiro
129,Nathaniel-shelton,,M,Parkskatherine@hotmail.com,61/Jan/26,,Universidad-nacional-de-río-cuarto,20/Sep/19,Licenciatura-en-ciencias-geológicas,Villa-sauce
130,Nicole-meyer,,F,Jkhan@hotmail.com,15/Aug/30,,Universidad-nacional-de-río-cuarto,20/Sep/11,Contador-público-,Adolfo-alsina
131,Darlene-hicks,,F,Henrykatherine@gmail.com,13/Jun/14,,Universidad-nacional-de-río-cuarto,20/Sep/25,Licenciatura-en-artes,Barrio-batan
132,Steven-randolph,,M,Melaniecraig@hotmail.com,16/May/19,,Universidad-nacional-de-río-cuarto,20/Nov/18,Licenciatura-en-administración-,Aconquija
133,Leslie-brooks,,F,Bettymyers@hotmail.com,20/Jan/24,,Universidad-nacional-de-río-cuarto,21/Jan/31,Licenciatura-en-sociología-,Achupallas
134,Anthony-skinner,,M,Vjones@gmail.com,31/Feb/11,,Universidad-nacional-de-río-cuarto,20/Oct/31,Licenciatura-en-administración-,Empalme-villa-constitucion
135,Adam-jacobs,,M,Josephhess@gmail.com,82/Apr/26,,Universidad-nacional-de-río-cuarto,20/Dec/09,Ciencias-veterinarias,Don-torcuato
136,Brandi-wood,,F,Christopher82@gmail.com,71/Jan/18,,Universidad-nacional-de-río-cuarto,20/Oct/22,Ciencias-veterinarias,Alfredo-demarchi
137,Maria-lee,,F,Deborah84@hotmail.com,31/Aug/12,,Universidad-nacional-de-río-cuarto,20/Dec/24,Licenciatura-en-gestión-de-agroalimentos,General-urquiza
138,Jonathan-hayes,,M,Tnelson@yahoo.com,85/Nov/27,,Universidad-nacional-de-río-cuarto,20/Oct/29,Licenciatura-en-kinesiología-y-fisiatría,Alto-del-saladillo
139,Joseph-bishop-md,,M,John36@yahoo.com,44/Oct/25,,Universidad-nacional-de-río-cuarto,20/Sep/16,Licenciatura-en-ciencia-y-tecnología-de-alimentos,Avena
140,Joshua-bauer,,M,Xbrown@yahoo.com,68/Nov/29,,Universidad-nacional-de-río-cuarto,21/Jan/17,Licenciatura-en-musicoterapia,Los-cardos
141,John-taylor,,M,Carolyn02@hotmail.com,04/Mar/24,,Universidad-nacional-de-río-cuarto,20/Sep/30,Ingeniería-electrónica,Alastuey
142,Francisco-bishop,,M,Lallen@hotmail.com,76/Apr/13,,Universidad-nacional-de-río-cuarto,20/Oct/07,Licenciatura-en-sociología-,Concepcion-del-bermejo
143,Mr.-joshua-allen,,M,Thomassuzanne@gmail.com,63/Jan/31,,Universidad-nacional-de-río-cuarto,20/Nov/10,Bioquímica,7-de-abril
144,Marcus-kidd,,M,Stephenkelley@gmail.com,89/Sep/03,,Universidad-nacional-de-río-cuarto,20/Oct/20,Técnico-para-bioterios-,Kilometro-408
145,Dawn-williamson,,F,Wilsonkrystal@yahoo.com,54/Feb/01,,Universidad-nacional-de-río-cuarto,20/Dec/02,Licenciatura-en-ciencias-antropológicas,Cura-malal
146,Eileen-lewis,,F,Smarks@hotmail.com,20/Dec/17,,Universidad-nacional-de-río-cuarto,20/Nov/17,Licenciatura-en-psicología,Agua-de-diaz
147,Mary-smith,,F,Davidlawrence@yahoo.com,12/Jun/25,,Universidad-nacional-de-río-cuarto,20/Oct/03,Licenciatura-en-ciencias-de-la-educación-,Valentin-alsina
148,Christine-gomez,,F,Xtran@yahoo.com,63/Sep/12,,Universidad-nacional-de-río-cuarto,20/Oct/17,Licenciatura-en-kinesiología-y-fisiatría,Cevil-grande
149,Richard-robinson,,M,Gholland@gmail.com,10/Aug/05,,Universidad-nacional-de-río-cuarto,20/Dec/08,Bioquímica,Colonia-la-negra
150,Alexander-thompson,,M,Sferrell@yahoo.com,09/Dec/20,,Universidad-nacional-de-río-cuarto,20/Oct/13,Agronomía,Barrio-emir-ramon-juarez
151,Angelica-richards,,F,Vstevenson@hotmail.com,45/May/05,,Universidad-nacional-de-río-cuarto,20/Nov/12,Licenciatura-en-ciencia-política-,La-union
152,Trevor-williams,,M,Epace@yahoo.com,23/Sep/04,,Universidad-nacional-de-río-cuarto,20/Oct/16,Farmacia,20-de-septiembre
153,Jennifer-woods,,F,Qanderson@hotmail.com,58/Feb/20,,Universidad-nacional-de-río-cuarto,20/Dec/04,Ingeniería-en-informática,Carbometal
154,Samantha-carter,,F,Daniel86@yahoo.com,26/Oct/23,,Universidad-nacional-de-río-cuarto,20/Nov/21,Licenciatura-en-psicología,Colonia-españa
155,Angel-romero,,F,Ericclark@yahoo.com,13/Mar/27,,Universidad-nacional-de-río-cuarto,21/Feb/01,Diseño-industrial,Agua-colorada
156,Edwin-sparks,,M,Wilsonmichelle@hotmail.com,80/Oct/08,,Universidad-nacional-de-río-cuarto,21/Jan/14,Licenciatura-en-ciencias-antropológicas,San-francisco-solano
157,Crystal-montgomery,,F,Johnsonapril@gmail.com,09/Oct/23,,Universidad-nacional-de-río-cuarto,21/Jan/03,Licenciatura-en-ciencias-ambientales,Mercado-central
158,Catherine-watson,,F,Pbenson@yahoo.com,97/Mar/29,,Universidad-nacional-de-río-cuarto,20/Oct/22,Licenciatura-en-kinesiología-y-fisiatría,Punta-de-los-llanos
159,Nathaniel-coleman,,M,Shill@gmail.com,83/Mar/02,,Universidad-nacional-de-río-cuarto,20/Oct/11,Ingeniería-en-informática,El-tala
160,Ryan-wilson,,M,Ebrooks@gmail.com,56/Mar/29,,Universidad-nacional-de-río-cuarto,20/Dec/24,Ciencias-veterinarias,Alfaland
161,Cassandra-gallegos,,F,Jordannicholas@hotmail.com,07/Apr/18,,Universidad-nacional-de-río-cuarto,20/Nov/24,Licenciatura-en-musicoterapia,Maggiolo
162,Michael-osborne,,M,David78@gmail.com,47/May/20,,Universidad-nacional-de-río-cuarto,20/Sep/18,Licenciatura-en-ciencias-ambientales,Bajo-las-tunas
163,Amy-gaines,,F,Ehansen@hotmail.com,89/May/25,,Universidad-nacional-de-río-cuarto,21/Jan/16,Licenciatura-en-relaciones-del-trabajo-,Bonifacio
