,university,career,inscription_date,last_name,first_name,gender,fecha_nacimiento,postal_code,email,location,_age_ins_0,_age_ins_1,_age_ins_2,age
24,univ. nacional del comahue,licenciatura en artes,2021-01-08,jones,jerry,male,1921-04-22,1812,irichardson@yahoo.com,carlos spegazzini,99.71731110152844,99.71731110152844,99.71731110152844,99
25,univ. nacional del comahue,licenciatura en sociología,2020-11-25,cook,latasha,female,1987-05-17,1665,derek68@gmail.com,jose clemente paz,33.52840920758126,33.52840920758126,33.52840920758126,33
26,univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-24,wallace,susan,female,2003-03-13,2828,lauren17@gmail.com,colonia nueva montevideo,17.53629437976139,17.53629437976139,17.53629437976139,17
27,univ. nacional del comahue,actuario,2020-09-29,powell,kelsey,female,2012-05-29,4618,richardstrevor@hotmail.com,abra de pives,8.336926836280005,,57.21491448898482,57
28,univ. nacional del comahue,licenciatura en ciencia política,2020-11-29,key,ana,female,1977-06-04,6616,ramossteven@gmail.com,castilla,43.48891489900546,43.48891489900546,43.48891489900546,43
29,univ. nacional del comahue,licenciatura en planificación y diseño del paisaje,2020-11-12,day,renee,female,1981-11-21,9001,wblack@gmail.com,cañadon ferrais,38.97684415148839,38.97684415148839,38.97684415148839,38
30,univ. nacional del comahue,ingeniería en informática,2020-10-19,wood,timothy,male,1954-01-17,4101,maldonadomichael@yahoo.com,agua negra,66.75564864439379,66.75564864439379,66.75564864439379,66
31,univ. nacional del comahue,licenciatura en ciencias de la educación,2020-11-04,hoover,amy,female,1912-11-17,3248,hobbssabrina@gmail.com,caraguata,107.96662491358481,107.96662491358481,107.96662491358481,107
32,univ. nacional del comahue,licenciatura en ciencia política,2021-01-21,mcclure,christina,female,1919-01-29,8103,bradfordkathleen@gmail.com,garro,101.98156019630794,101.98156019630794,101.98156019630794,101
33,univ. nacional del comahue,licenciatura en relaciones del trabajo,2020-12-01,harris,linda,female,1919-09-20,3048,hpatton@gmail.com,angeloni,101.2012566993162,101.2012566993162,101.2012566993162,101
34,univ. nacional del comahue,licenciatura en ciencias ambientales,2021-01-21,hurst,karen,female,1949-07-21,7020,rodney75@gmail.com,benito juarez,71.50591730151885,71.50591730151885,71.50591730151885,71
35,univ. nacional del comahue,licenciatura en ciencias antropológicas,2020-11-13,moore,adam,male,1957-02-12,1665,brandon66@hotmail.com,jose clemente paz,63.7521646577274,63.7521646577274,63.7521646577274,63
36,univ. nacional del comahue,licenciatura en sociología,2020-10-19,serrano,cassana,female,1993-09-26,8000,aaronlove@hotmail.com,adela corti,27.0642107640814,27.0642107640814,27.0642107640814,27
37,univ. nacional del comahue,actuario,2020-09-25,hernandez,lori,female,2004-10-21,3714,justingonzales@yahoo.com,9 de julio,15.929142966659137,15.929142966659137,15.929142966659137,15
38,univ. nacional del comahue,ciencias veterinarias,2020-11-27,clarke,maureen,female,2017-11-08,2630,patrickgray@gmail.com,firmat,3.052766312792186,,57.21491448898482,57
39,univ. nacional del comahue,licenciatura en ciencia y tecnología de alimentos,2020-10-26,bradley,linda,female,1956-07-07,3400,kathleenmiller@hotmail.com,bañado norte,64.30522187313908,64.30522187313908,64.30522187313908,64
40,univ. nacional del comahue,contador público,2020-11-23,james,jason,male,1960-08-17,3574,nicholas57@gmail.com,capilla guadalupe norte,60.26954694483802,60.26954694483802,60.26954694483802,60
41,univ. nacional del comahue,licenciatura en psicología,2020-11-23,chapman,donna,female,1935-04-27,3224,scottherrera@gmail.com,la blanqueada,85.57875931743979,85.57875931743979,85.57875931743979,85
42,univ. nacional del comahue,licenciatura en sociología,2020-11-18,odom,tyler,male,1910-04-22,3474,ncarter@gmail.com,chavarria,110.57858819825185,110.57858819825185,110.57858819825185,110
43,univ. nacional del comahue,arquitectura,2021-01-23,wood,lauren,female,1975-03-03,3014,brandi48@gmail.com,angel gallardo,45.895535158148355,45.895535158148355,45.895535158148355,45
44,univ. nacional del comahue,agronomía,2020-10-23,shaw,parker,male,2011-08-10,6652,johnsonpatricia@hotmail.com,olascoaga,9.204843357495363,,57.21491448898482,57
45,univ. nacional del comahue,ingeniería electrónica,2020-11-23,miller,david,male,1973-02-19,3048,ptran@yahoo.com,angeloni,47.76004982990753,47.76004982990753,47.76004982990753,47
46,univ. nacional del comahue,agronomía,2021-01-27,bryan,courtney,female,1991-01-07,1856,howardzachary@hotmail.com,glew,30.056743122719837,30.056743122719837,30.056743122719837,30
47,univ. nacional del comahue,licenciatura en relaciones del trabajo,2020-10-05,salazar,jasmine,female,2019-09-13,3425,cameronstephanie@gmail.com,costa grande,1.062307918711541,,57.21491448898482,57
48,univ. nacional del comahue,diseño industrial,2021-01-30,lucero,kristen,female,1919-09-19,1923,whitematthew@hotmail.com,arroyo del pescado,101.36826902674251,101.36826902674251,101.36826902674251,101
49,univ. nacional del comahue,licenciatura en ciencia y tecnología de alimentos,2020-11-22,roberts,daniel,male,1978-06-12,1651,xmorris@yahoo.com,san andres,42.448510236349826,42.448510236349826,42.448510236349826,42
50,univ. nacional del comahue,diseño de imagen y sonido,2020-10-15,williams,nicole,female,1968-12-23,5735,pamelasoto@hotmail.com,colonia bella vista,51.812152200250516,51.812152200250516,51.812152200250516,51
51,univ. nacional del comahue,licenciatura en artes,2020-12-12,baker,leah,female,1964-12-19,2258,aprilparks@gmail.com,campo quiñones,55.98198457189402,55.98198457189402,55.98198457189402,55
52,univ. nacional del comahue,licenciatura en administración,2020-12-21,flores,nancy,female,1948-02-16,1755,jacksoncantrell@gmail.com,rafael castillo,72.84749173494322,72.84749173494322,72.84749173494322,72
53,univ. nacional del comahue,técnico para bioterios,2021-01-08,sweeney,anthony,male,1980-09-01,5722,brookerice@hotmail.com,acasape,40.35401137600361,40.35401137600361,40.35401137600361,40
54,univ. nacional del comahue,licenciatura en planificación y diseño del paisaje,2020-10-23,erickson,david,male,2012-01-08,2814,caseyburgess@yahoo.com,alto los cardales,8.791419399440098,,57.21491448898482,57
55,univ. nacional del comahue,diseño de imagen y sonido,2020-09-22,esparza,kimberly,female,1994-12-04,8307,jeffreycooper@gmail.com,colonia gobernador ayala,25.802035633859695,25.802035633859695,25.802035633859695,25
56,univ. nacional del comahue,ingeniería mecánica,2020-12-21,wilson,jose,male,1971-02-11,2500,ystewart@yahoo.com,cañada de gomez,49.86002450426771,49.86002450426771,49.86002450426771,49
57,univ. nacional del comahue,agronomía,2021-01-16,morales,anna,female,1921-10-07,4651,woodjulie@yahoo.com,agua de castilla,99.27924598041028,99.27924598041028,99.27924598041028,99
58,univ. nacional del comahue,medicina,2020-09-12,sanchez,richard,male,1968-10-13,5470,yyates@yahoo.com,abra verde,51.91619266651608,51.91619266651608,51.91619266651608,51
59,univ. nacional del comahue,ingeniería en informática,2021-01-05,hall,kyle,male,1975-06-14,9420,christina68@yahoo.com,aserradero arroyo,45.564248410302746,45.564248410302746,45.564248410302746,45
60,univ. nacional del comahue,técnico para bioterios,2020-12-09,jenkins,arthur,male,1935-09-14,4182,thompsonmark@hotmail.com,campo la flor los ralos,85.23925884857321,85.23925884857321,85.23925884857321,85
61,univ. nacional del comahue,contador público,2020-10-16,weeks,tracy,female,2003-02-23,1676,robertrocha@gmail.com,santos lugares,17.645810660040933,17.645810660040933,17.645810660040933,17
62,univ. nacional del comahue,licenciatura en terapia ocupacional,2021-01-30,church,cory,male,1976-01-24,3334,ashleywilliams@gmail.com,3 de mayo,45.019404915912034,45.019404915912034,45.019404915912034,45
63,univ. nacional del comahue,licenciatura en artes,2021-01-16,garner,jacob,male,2003-11-27,6207,warnermichael@yahoo.com,alta italia,17.13929786374806,17.13929786374806,17.13929786374806,17
64,univ. nacional del comahue,ciencias veterinarias,2021-01-21,ortega,jonathan,male,1953-05-14,2248,david52@hotmail.com,bernardo de irigoyen,67.69201284078386,67.69201284078386,67.69201284078386,67
65,univ. nacional del comahue,licenciatura en artes,2020-10-05,morris,jeremy,male,1930-12-25,1603,misty51@hotmail.com,villa martelli,89.78144657316714,89.78144657316714,89.78144657316714,89
66,univ. nacional del comahue,medicina,2020-10-31,middleton,mark,male,1941-11-17,5713,rhodeselizabeth@yahoo.com,balde ahumada,78.95576226753458,78.95576226753458,78.95576226753458,78
67,univ. nacional del comahue,licenciatura en planificación y diseño del paisaje,2020-12-17,gill,william,male,1940-08-01,5419,lewisjulie@hotmail.com,baños de la laja,80.3794739111686,80.3794739111686,80.3794739111686,80
68,univ. nacional del comahue,medicina,2020-10-18,bernard,samantha,female,1983-05-03,1815,heatherlee@yahoo.com,escuela agricola don bosco,37.46278157662375,37.46278157662375,37.46278157662375,37
69,univ. nacional del comahue,técnico para bioterios,2020-09-15,kramer,alexander,male,2021-01-23,2944,jesse67@yahoo.com,rio tala,-0.355927910908506,,57.21491448898482,57
70,univ. nacional del comahue,contador público,2020-09-10,smith,steven,male,1999-06-29,1627,kristin73@gmail.com,matheu,21.202351862119002,21.202351862119002,21.202351862119002,21
71,univ. nacional del comahue,licenciatura en ciencias de la computación,2020-09-26,knight,david,male,1964-09-04,4648,tyler23@yahoo.com,barrio la union,56.06138387509668,56.06138387509668,56.06138387509668,56
72,univ. nacional del comahue,diseño industrial,2021-01-16,yu,john,male,1928-12-22,3380,aaron55@yahoo.com,9 de julio kilometro 20,92.07033683100954,92.07033683100954,92.07033683100954,92
73,univ. nacional del comahue,licenciatura en kinesiología y fisiatría,2021-01-15,montoya,michael,male,1979-11-02,2701,lmartinez@gmail.com,12 de agosto,41.20550045517704,41.20550045517704,41.20550045517704,41
74,univ. nacional del comahue,actuario,2021-01-03,hunter,parker,male,2005-10-16,1619,michealdavis@hotmail.com,garin,15.217287144842125,15.217287144842125,15.217287144842125,15
75,univ. nacional del comahue,licenciatura en ciencias ambientales,2020-12-19,henderson,jeffrey,male,1921-06-10,5300,duranjames@yahoo.com,amilgancho,99.52839551804622,99.52839551804622,99.52839551804622,99
76,univ. nacional del comahue,licenciatura en relaciones del trabajo,2020-10-29,gaines,christopher,male,1954-12-15,2740,brittanymontgomery@gmail.com,almacen la colina,65.8740425881435,65.8740425881435,65.8740425881435,65
77,univ. nacional del comahue,farmacia,2020-11-05,moore,thomas,male,1964-05-27,8341,stephaniebarron@yahoo.com,arroyo quillen,56.44469085607507,56.44469085607507,56.44469085607507,56
78,univ. nacional del comahue,licenciatura en sociología,2021-01-08,dennis,christian,male,1971-09-03,6469,johnjones@yahoo.com,asturias,49.35077380096785,49.35077380096785,49.35077380096785,49
79,univ. nacional del comahue,licenciatura en terapia ocupacional,2020-12-10,ferrell,martha,female,1985-04-25,3592,bbeasley@hotmail.com,colonia hardy,35.62838388194145,35.62838388194145,35.62838388194145,35
80,univ. nacional del comahue,arquitectura,2020-10-19,spencer,peter,male,2014-07-24,6001,donnavaldez@hotmail.com,agustin roca,6.239690068926809,,57.21491448898482,57
81,univ. nacional del comahue,licenciatura en ciencias antropológicas,2020-09-13,young,tyler,male,2001-06-17,7407,james90@hotmail.com,libano,19.24201044511523,19.24201044511523,19.24201044511523,19
82,univ. nacional del comahue,licenciatura en sociología,2020-10-21,ingram,jacqueline,female,1940-07-06,5529,joseph84@hotmail.com,colonia bombal,80.29459879395196,80.29459879395196,80.29459879395196,80
83,univ. nacional del comahue,licenciatura en ciencias de la computación,2020-09-10,hampton,erica,female,1984-07-21,6700,carmenwarren@yahoo.com,caminera lujan,36.140372492248304,36.140372492248304,36.140372492248304,36
84,univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-12-28,hamilton,jacqueline,female,1986-10-03,5615,thomas65@gmail.com,25 de mayo,34.237527122391285,34.237527122391285,34.237527122391285,34
85,univ. nacional del comahue,ingeniería mecánica,2020-10-24,fitzgerald,ryan,male,2010-06-25,5357,fowlermorgan@yahoo.com,el horno,10.332861044374628,,57.21491448898482,57
86,univ. nacional del comahue,licenciatura en ciencia y tecnología de alimentos,2020-09-11,wood,ronnie,male,2004-02-07,7169,lewislisa@hotmail.com,juancho,16.594454369357344,16.594454369357344,16.594454369357344,16
87,univ. nacional del comahue,licenciatura en artes,2020-10-27,rhodes,corey,male,1988-07-28,6051,lopezsusan@gmail.com,ingeniero balbin,32.24980663531763,32.24980663531763,32.24980663531763,32
88,univ. nacional del comahue,bioquímica,2020-12-29,lam,jennifer,female,1955-10-30,2633,perezjeremy@hotmail.com,chovet,65.16766258034046,65.16766258034046,65.16766258034046,65
89,univ. nacional del comahue,ingeniería en informática,2020-12-14,stanley,sarah,female,1961-07-29,6221,medinabilly@yahoo.com,ceballos,59.379727167566756,59.379727167566756,59.379727167566756,59
90,univ. nacional del comahue,licenciatura en musicoterapia,2020-11-16,jacobs,richard,male,1926-05-20,1911,jennifer18@yahoo.com,bme bavio gral mansilla,94.49612243920136,94.49612243920136,94.49612243920136,94
91,univ. nacional del comahue,licenciatura en artes,2020-12-05,mills,heather,female,1935-10-16,3351,rchavez@yahoo.com,azara,85.14069419632162,85.14069419632162,85.14069419632162,85
92,univ. nacional del comahue,licenciatura en sociología,2020-10-21,gibson,tammy,female,1944-04-17,6417,john91@hotmail.com,casbas,76.51354921730083,76.51354921730083,76.51354921730083,76
93,univ. nacional del comahue,farmacia,2020-10-09,willis,belinda,female,1985-03-29,6701,goldenryan@hotmail.com,carlos keen,35.53255713669685,35.53255713669685,35.53255713669685,35
94,univ. nacional del comahue,ingeniería en informática,2020-10-20,wang,philip,male,1914-03-23,8416,liukathryn@yahoo.com,anecon grande,106.58124396804862,106.58124396804862,106.58124396804862,106
95,univ. nacional del comahue,contador público,2020-12-18,rasmussen,steven,male,1958-01-24,3583,mario10@gmail.com,isla tigre,62.90067557855397,62.90067557855397,62.90067557855397,62
96,univ. nacional del comahue,diseño industrial,2020-09-29,burns,heather,female,1955-10-26,3313,michael54@gmail.com,arroyo del medio,64.92946467073246,64.92946467073246,64.92946467073246,64
97,univ. nacional del comahue,licenciatura en kinesiología y fisiatría,2020-09-07,bradley,mark,male,1942-04-27,2113,twebb@gmail.com,peyrano,78.36711226103205,78.36711226103205,78.36711226103205,78
98,univ. nacional del comahue,agronomía,2021-01-27,harris,troy,male,1907-02-03,3011,beverlycox@gmail.com,campo magnin,113.98454451494555,113.98454451494555,113.98454451494555,113
99,univ. nacional del comahue,arquitectura,2020-10-25,lowe,sarah,female,1949-11-12,1886,jamesthompson@gmail.com,ranelagh,70.95286008610718,70.95286008610718,70.95286008610718,70
100,univ. nacional del comahue,licenciatura en kinesiología y fisiatría,2020-09-24,boyer,joseph,male,1906-03-07,2216,gary33@hotmail.com,campo raffo,114.55402917239915,114.55402917239915,114.55402917239915,114
101,univ. nacional del comahue,licenciatura en ciencias geológicas,2020-11-30,whitaker,michael,male,1957-03-20,8200,patrick36@yahoo.com,colonia lia y allende,63.70014442459462,63.70014442459462,63.70014442459462,63
102,univ. nacional del comahue,técnico para bioterios,2020-09-09,soto,brittany,female,1983-07-17,5511,dustin57@yahoo.com,general gutierrez,37.15066017782706,37.15066017782706,37.15066017782706,37
103,univ. nacional del comahue,licenciatura en ciencia y tecnología de alimentos,2020-09-10,neal,rodney,male,1955-10-11,1646,schmittanthony@hotmail.com,san fernando,64.9185130427045,64.9185130427045,64.9185130427045,64
104,univ. nacional del comahue,contador público,2020-10-27,harrell,donald,male,1978-12-26,8353,moorecarlos@yahoo.com,aguada chacay co,41.837956973791385,41.837956973791385,41.837956973791385,41
105,univ. nacional del comahue,diseño de imagen y sonido,2020-09-30,griffin,jessica,female,2005-04-06,3714,martinezbonnie@gmail.com,9 de julio,15.485602031527,15.485602031527,15.485602031527,15
106,univ. nacional del comahue,licenciatura en sociología,2021-01-09,flores,amy,female,1950-10-10,8200,pcabrera@hotmail.com,colonia lia y allende,70.25195589231812,70.25195589231812,70.25195589231812,70
107,univ. nacional del comahue,licenciatura en psicología,2020-11-27,thomas,daniel,male,1963-05-14,1727,sjohnson@gmail.com,b los aromos san patricio,57.542591565877466,57.542591565877466,57.542591565877466,57
108,univ. nacional del comahue,licenciatura en psicología,2020-10-14,scott,paula,female,1965-11-28,2173,nicholas30@gmail.com,campo pesoa,54.878608048077645,54.878608048077645,54.878608048077645,54
109,univ. nacional del comahue,licenciatura en ciencias geológicas,2020-09-02,mccarthy,joseph,male,1986-03-25,2931,laurenchurch@hotmail.com,isla los laureles,34.44287014791543,34.44287014791543,34.44287014791543,34
110,univ. nacional del comahue,licenciatura en ciencias biológicas,2021-01-06,norton,brian,male,1929-09-30,6321,kristen61@yahoo.com,caichue,91.27086798496889,91.27086798496889,91.27086798496889,91
111,univ. nacional del comahue,medicina,2020-10-10,welch,kristina,female,2013-06-12,7011,brownlawrence@hotmail.com,aneque grande,7.329377057708235,,57.21491448898482,57
112,univ. nacional del comahue,agronomía,2020-09-24,wells,breanna,female,2020-09-20,5710,kevin45@yahoo.com,la punta,0.010951628027954031,,57.21491448898482,57
113,univ. nacional del comahue,actuario,2020-10-23,scott,debra,female,1958-04-29,6389,hsampson@gmail.com,alegria,62.48725162049871,62.48725162049871,62.48725162049871,62
114,univ. nacional del comahue,licenciatura en artes,2020-11-19,mason,harold,male,1949-06-10,1925,deanthomas@yahoo.com,destileria fiscal,71.4456833473651,71.4456833473651,71.4456833473651,71
115,univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-10-30,ruiz,gina,female,1938-08-24,5591,andersondanielle@gmail.com,alpatacal,82.18649253578103,82.18649253578103,82.18649253578103,82
116,univ. nacional del comahue,licenciatura en sociología,2020-09-28,nolan,laura,female,2000-12-05,4650,cookbarry@gmail.com,abra de peñas,19.81423300957583,19.81423300957583,19.81423300957583,19
117,univ. nacional del comahue,licenciatura en terapia ocupacional,2020-12-25,fisher,carolyn,female,1958-07-17,7221,tammyaustin@yahoo.com,francisco berra,62.443445108386896,62.443445108386896,62.443445108386896,62
118,univ. nacional del comahue,diseño de imagen y sonido,2021-01-12,schmitt,jessica,female,1932-10-13,5595,mstanley@gmail.com,cupiles,88.25095655626056,88.25095655626056,88.25095655626056,88
119,univ. nacional del comahue,licenciatura en administración,2020-11-16,parker,james,male,1949-07-29,1702,jessica21@hotmail.com,ciudadela,71.30331218300171,71.30331218300171,71.30331218300171,71
120,univ. nacional del comahue,licenciatura en sociología,2020-10-06,morales,tyler,male,1983-08-08,6667,michaelhogan@gmail.com,agustin mosconi,37.164349712862006,37.164349712862006,37.164349712862006,37
121,univ. nacional del comahue,licenciatura en ciencias antropológicas,2020-10-24,williams,sarah,female,2012-01-22,2728,williamreed@gmail.com,melincue,8.755826608349247,,57.21491448898482,57
122,univ. nacional del comahue,medicina,2020-09-12,kelly,joel,male,1987-11-14,9030,christopher34@gmail.com,rio mayo,32.83024292079919,32.83024292079919,32.83024292079919,32
123,univ. nacional del comahue,ingeniería mecánica,2020-11-24,vaughn,amanda,female,1914-08-18,7261,christophercoleman@gmail.com,saladillo norte,106.27186047625892,106.27186047625892,106.27186047625892,106
124,univ. nacional del comahue,licenciatura en ciencias biológicas,2020-09-27,figueroa,linda,female,1981-10-13,4142,vtorres@yahoo.com,alto de leiva,38.957678802439474,38.957678802439474,38.957678802439474,38
125,univ. nacional del comahue,licenciatura en ciencias antropológicas,2020-10-24,rodgers,cynthia,female,1974-10-14,3386,johnsonjason@yahoo.com,caraguatay,46.029692601490794,46.029692601490794,46.029692601490794,46
126,univ. nacional del comahue,diseño de imagen y sonido,2021-01-15,parker,rachel,female,1914-06-16,8160,michael14@hotmail.com,fortin chaco,106.5867197820626,106.5867197820626,106.5867197820626,106
127,univ. nacional del comahue,ingeniería en informática,2020-11-04,baldwin,joan,female,1958-01-25,6725,freyes@yahoo.com,carmen de areco,62.777469763239495,62.777469763239495,62.777469763239495,62
128,univ. nacional del comahue,bioquímica,2020-09-27,jones,jessica,female,1986-09-10,8151,obrennan@yahoo.com,el zorro,34.04861153890908,34.04861153890908,34.04861153890908,34
129,univ. nacional del comahue,licenciatura en producción de bioimagenes,2021-01-26,mcknight,stephanie,female,2014-12-30,7505,xflores@gmail.com,balneario claromeco,6.075415648507499,,57.21491448898482,57
130,univ. nacional del comahue,técnico para bioterios,2020-12-13,kennedy,denise,female,2007-04-24,6632,ebishop@yahoo.com,benitez,13.640252708816744,,57.21491448898482,57
131,univ. nacional del comahue,licenciatura en ciencias geológicas,2020-12-04,moore,alice,female,1915-10-24,3177,eshields@hotmail.com,altamirano norte,105.11646371930978,105.11646371930978,105.11646371930978,105
132,univ. nacional del comahue,licenciatura en administración,2020-11-14,johnson,rebecca,female,2002-02-23,6723,david74@hotmail.com,cucullu,18.724546020794403,18.724546020794403,18.724546020794403,18
133,univ. nacional del comahue,licenciatura en planificación y diseño del paisaje,2020-11-16,cobb,daniel,male,1997-06-08,6434,salvarado@gmail.com,palantelen,23.441959793835604,23.441959793835604,23.441959793835604,23
134,univ. nacional del comahue,licenciatura en ciencia política,2021-01-09,pearson,suzanne,female,1962-07-05,6330,keith43@yahoo.com,arturo almaraz,58.517286460365376,58.517286460365376,58.517286460365376,58
135,univ. nacional del comahue,farmacia,2020-10-21,perez,mary,female,1929-04-13,2745,mzimmerman@gmail.com,gahan,91.52549333661882,91.52549333661882,91.52549333661882,91
136,univ. nacional del comahue,bioquímica,2021-01-26,martin,jamie,female,1922-12-25,2216,anne53@hotmail.com,campo raffo,98.09099433937726,98.09099433937726,98.09099433937726,98
137,univ. nacional del comahue,diseño de imagen y sonido,2020-10-08,garcia,julie,female,1963-12-07,5577,daniel38@hotmail.com,el alto,56.83894946508142,56.83894946508142,56.83894946508142,56
138,univ. nacional del comahue,diseño industrial,2021-01-25,edwards,kristine,female,2012-02-16,4231,mduran@yahoo.com,albigasta,8.942004284824465,,57.21491448898482,57
139,univ. nacional del comahue,licenciatura en ciencias antropológicas,2020-09-25,zimmerman,alicia,female,1972-03-31,6453,jasonparks@hotmail.com,carlos salas,48.48833309376647,48.48833309376647,48.48833309376647,48
140,univ. nacional del comahue,medicina,2020-10-20,roiguez,colleen,female,2007-11-15,6070,wadecheryl@gmail.com,balsa,12.931134794006722,,57.21491448898482,57
141,univ. nacional del comahue,licenciatura en kinesiología y fisiatría,2021-01-20,alvarez,mary,female,1920-10-31,9035,iwright@yahoo.com,arroyo chalia,100.2238238978213,100.2238238978213,100.2238238978213,100
142,univ. nacional del comahue,licenciatura en ciencia y tecnología de alimentos,2020-11-08,matthews,nicholas,male,2018-10-14,2000,michaelarellano@yahoo.com,villa angelica,2.069857697283312,,57.21491448898482,57
143,univ. nacional del comahue,licenciatura en kinesiología y fisiatría,2021-01-23,arnold,mark,male,2020-03-22,5773,campbellsamantha@hotmail.com,cañada,0.8405374511454718,,57.21491448898482,57
144,univ. nacional del comahue,ciencias veterinarias,2020-10-20,norman,christopher,male,1959-09-20,3326,millertimothy@yahoo.com,colonia leiva,61.085443232920596,61.085443232920596,61.085443232920596,61
145,univ. nacional del comahue,licenciatura en artes,2020-09-01,dyer,timothy,male,1913-04-03,5429,mariajackson@hotmail.com,el abanico,107.41630560518011,107.41630560518011,107.41630560518011,107
146,univ. nacional del comahue,licenciatura en psicología,2021-01-05,alvarez,elizabeth,female,2014-11-29,8521,irobles@hotmail.com,arroyo de la ventana,6.102794718577384,,57.21491448898482,57
